"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,200,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,157,200,365,NA,NA,NA,NA,NA,NA,NA,NA
1,157,174,212,365,NA,NA,NA,NA,NA,NA,NA
1,74,157,172,212,365,NA,NA,NA,NA,NA,NA
1,78,119,143,158,210,365,NA,NA,NA,NA,NA
1,37,72,103,145,181,225,365,NA,NA,NA,NA
1,39,65,103,151,170,296,321,365,NA,NA,NA
1,26,48,103,151,170,201,281,333,365,NA,NA
1,28,54,103,146,168,202,225,254,326,365,NA
1,31,48,105,125,150,167,200,229,256,293,365
1,36,69,107,150,169,196,224,257,279,301,345
1,22,27,32,44,54,65,128,160,227,268,293
1,10,23,41,53,68,79,128,177,193,221,249
