DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
03/01/2018 12:00,107,31.776,0.0752,0.018,2.29,0.673,191.5,48.8,7.9,1160
03/19/2018 12:45,27,7.9051,0.0385,0.005,1.58,0.63,134.2,45.5,7.01,971
03/26/2018 12:35,20.9,12.751,0.0338,0.006,0.97,0.598,136.6,52.2,0.88,994
04/02/2018 12:25,38.1,11.857,0.0382,0.008,1.87,0.71,120.8,43.2,6.79,942
04/09/2018 12:30,29.9,8.5413,0.0366,0.001,1.61,0.56,131.8,49,5.52,963
04/16/2018 12:45,222,39.348,0.1651,0.022,1.88,1.241,73.2,28.8,7.12,646
04/23/2018 09:30,33.1,10.053,0.0374,0.01,1.25,0.657,121.5,40.8,4.27,944
04/30/2018 13:40,27.5,8.4801,0.031,0.009,1.18,0.597,127.5,40.5,3.22,914
05/07/2018 12:30,63.5,41.095,0.0854,0.012,1.49,0.879,101.1,36.1,7.43,830
05/14/2018 12:50,223,77.931,0.176,0.02,1.3,1.382,57.4,25.4,6.22,542
05/21/2018 13:00,40.9,8.5,0.0535,0.004,1.5,0.645,109.1,35.1,8.03,859
06/04/2018 09:55,12.5,12.17,0.078,0.019,1.26,0.609,125.1,33.7,9.41,897
06/11/2018 08:55,114,41.666,0.1326,0.028,1.62,0.618,70.5,23.5,6.76,580
06/18/2018 09:50,12.9,17.916,0.089,0.031,1.21,0.637,117.8,34.3,9.91,892
06/25/2018 09:50,22.2,10.8,0.0733,0.037,1.05,0.543,123.1,77.4,9.59,878
07/02/2018 10:30,6.14,13.8,0.1,0.044,0.69,0.445,149.7,36.5,9.26,1004
07/09/2018 10:00,3.36,9.6277,0.091,0.042,0.51,0.501,171.9,42.6,9.17,1072
07/16/2018 14:00,2.09,6.3653,0.093,0.05,0.32,0.598,187.9,42.7,8.21,1118
07/23/2018 09:55,1.38,11.4,0.099,0.046,0.51,0.571,174.7,40,8.69,1078
07/30/2018 10:08,0.68,11.333,0.091,0.044,0.33,0.749,147.8,38.4,6.16,907
08/06/2018 09:50,0.68,7.5,0.0816,0.028,0.26,0.553,172.7,69.1,8.54,1105
08/13/2018 10:00,2.58,8.4865,0.081,0.033,0.56,0.539,127,49.2,8.53,916
08/27/2018 07:55,4.32,5.5517,0.0677,0.035,0.44,0.489,120.5,34.5,8.76,836
09/17/2018 10:15,4.32,5.1622,0.0641,0.021,0.41,0.664,159.1,47,10.87,1072
09/24/2018 09:50,6.35,15.764,0.0548,0.028,0.02,0.414,183.9,48.5,9.73,1151
09/24/2018 12:00,6.35,0,0.0556,0.024,0.37,0.531,175.2,46,9.58,1156
09/24/2018 20:00,25.5,64.646,0.1692,0.02,0.4,0.786,128.3,36.4,6.6,844
09/25/2018 04:00,14.1,14.799,0.0839,0.007,0.28,0.55,97.9,25.8,4.82,642
09/25/2018 12:00,10.9,8.3681,0.061,0.018,0.34,0.479,117.6,38.5,7.02,813
09/26/2018 12:00,8.87,4.4557,0.0803,0.022,0.53,0.683,131.7,38.2,8.84,909
09/27/2018 12:00,6.6,3.6787,0.0649,0.02,0.41,0.519,151.8,40.2,9.25,1017
09/28/2018 12:00,6.6,3.1847,0.0585,0.025,0.4,0.397,158.8,42.7,9.26,1066
09/29/2018 12:00,6.6,2.909,0.0543,0.015,0.38,0.411,172.8,44,8.87,1125
09/30/2018 12:00,6.1,4.0295,0.057,0.022,0.4,0.576,175.2,46.2,9.21,1149
10/01/2018 04:00,6.35,4.7647,0.0607,0.012,0.38,0.583,173,46.1,9.15,1132
10/01/2018 10:00,6.35,2.616,0.054,0.026,0.4,0.454,181.4,47.6,9.79,1161
10/01/2018 12:00,5.86,4.7748,0.0562,0.027,0.2,0.552,185.3,46.9,10.34,1151
10/02/2018 12:00,6.1,4.9295,0.057,0.027,0.14,0.53,193.7,47.1,10.12,1184
10/03/2018 12:00,6.6,3.7759,0.0645,0.035,0,0.51,187.9,45.4,10.35,1161
10/04/2018 12:00,6.35,4.7651,0.0765,0.041,0.09,0.494,190.7,46,10.51,1180
10/05/2018 12:00,6.1,4.1011,0.0804,0.038,0.02,0.487,188.6,45.7,10.97,1167
10/06/2018 12:00,12.2,7.6045,0.0831,0.038,0.12,0.379,125.4,32.3,8.17,823
10/06/2018 20:00,10.4,8.8495,0.082,0.038,0.08,0.536,108.6,29.3,7.77,742
10/07/2018 04:00,10.7,4.4542,0.0827,0.045,0.06,0.354,122.8,32.8,8.69,832
10/07/2018 12:00,14.1,11.601,0.0833,0.037,0.09,0.277,79.3,20.3,5.96,572
10/07/2018 20:00,12.7,6.7568,0.0809,0.032,0.28,0.514,99.8,30.2,7.7,707
10/08/2018 09:45,9.83,5.8328,0.0734,0.041,0.17,0.374,111.3,31.6,8.86,779
10/08/2018 12:00,10.2,5.8365,0.0743,0.032,0.32,0.45,109.2,33.5,8.18,787
10/09/2018 12:00,8.56,3.0029,0.081,0.03,0.26,0.44,124.2,37.5,9.15,883
10/10/2018 12:00,7.68,4.7781,0.0914,0.041,0.23,0.582,152.9,41.4,9.96,1016
10/11/2018 12:00,6.86,5.2355,0.1001,0.051,0.15,0.477,149.4,40,9.99,1016
10/12/2018 12:00,6.35,10.276,0.0995,0.049,0.13,0.429,159.1,42.3,10.35,1054
10/13/2018 12:00,8.26,15.052,0.0772,0.035,0.26,0.462,137,37.9,8.36,916
10/14/2018 12:00,6.6,7.4374,0.0742,0.035,0.26,0.5,154.3,46.3,9.43,1030
10/15/2018 04:00,7.4,8,0.0673,0.035,0.31,0.407,160.7,45.8,9.32,1055
10/15/2018 10:05,7.4,0.7117,0.0593,0.036,0.31,0.374,169.5,46.8,9.83,1082
10/15/2018 20:00,6.35,0.69056,0.055,0.022,0.27,0.519,165.7,45.7,10.28,1092
10/16/2018 20:00,6.1,1.4296,0.053,0.024,0.3,0.409,165.9,47.7,10.16,1092
10/17/2018 20:00,6.1,0.68442,0.051,0.019,0.31,0.503,178.5,48.6,10.2,1141
10/18/2018 20:00,5.6,2.5157,0.048,0.018,0.34,0.389,182,49.4,9.98,1165
10/19/2018 20:00,5.86,1.8738,0.047,0.021,0.33,0.413,176.3,49.8,9.94,1151
10/20/2018 20:00,5.86,2.4479,0.047,0.018,0.3,0.366,180.3,50.2,9.7,1161
10/21/2018 20:00,6.1,3.2938,0.047,0.022,0.3,0.394,174.6,50.6,9.12,1133
10/22/2018 10:00,5.86,1.3578,0.043,0.021,0.25,0.407,175.6,52.2,9.83,1125
10/22/2018 12:00,6.6,1.4005,0.0429,0.014,0,0.385,178.1,50.8,9.15,1138
10/22/2018 12:00,6.6,2.886,0.0465,0.022,0.23,0.492,171.4,50.4,,1126
10/22/2018 12:01,6.6,2.886,0.0465,0.022,0.23,0.492,171.4,50.4,9.09,1155
10/23/2018 12:00,6.6,2.6595,0.0437,0.014,0,0.381,182.3,52.2,8.92,1139
10/24/2018 12:00,5.86,0.65747,0.0403,0.01,0,0.377,177.4,52.7,8.96,1130
10/25/2018 12:00,6.35,1.314,0.0406,0.013,0.03,0.409,175.8,53,8.9,1124
10/26/2018 12:00,6.1,5.2945,0.0418,0.009,0,0.381,170.4,51,8.45,1031
10/27/2018 12:00,7.4,6.7249,0.0512,0.013,0,0.427,155.1,45.7,7.16,883
10/28/2018 12:00,8.87,2.6773,0.0537,0.017,0,0.424,124.8,41.9,6.63,498
10/28/2018 20:00,22.5,50.218,0.107,0.016,0,0.477,62.7,24.3,3.85,727
10/29/2018 04:00,14.9,14.553,0.0727,0.014,0.25,0.549,99.2,36.7,5.71,721
10/29/2018 10:13,14.9,4.3197,0.059,0.015,0.32,0.488,94,41.2,6.6,783
10/29/2018 12:00,12.7,63,0.069,0.009,0.61,0.535,106.4,39.8,6.56,763
10/30/2018 12:00,8.56,22,0.045,0.014,0.45,0.466,102.8,36.1,6.87,898
10/31/2018 12:00,11.4,27.9,0.053,0.01,0.32,0.521,144.8,42.3,6.08,484
11/01/2018 12:00,36.6,27,0.087,0.017,0.17,0.479,62.1,22.1,4.33,445
11/01/2018 20:00,55.6,111.1,0.202,0.019,0.36,1.007,54,20.5,4.11,494
11/02/2018 04:00,78.8,117.2,0.198,0.019,1.17,1.152,55.3,22.8,5,581
11/02/2018 12:00,67,44,0.142,0.019,1.98,0.801,62.3,28.9,6.24,658
11/02/2018 20:00,63.7,45.2,0.115,0.022,2.38,0.741,72.2,33.8,7.12,727
11/03/2018 04:00,63.1,54.8,0.103,0.02,2.54,0.736,80.5,39.3,7.84,809
11/03/2018 12:00,59,48.4,0.089,0.018,2.66,0.824,91.5,43.9,8.46,905
11/04/2018 12:00,33.1,31.1,0.074,0.004,2.46,0.704,106,48.2,9.35,944
11/05/2018 04:00,25.8,27.5,0.074,0.012,2.21,0.675,117.9,50.2,9.64,870
11/05/2018 09:50,23.4,6.5,0.066,0.029,1.9,0.661,108.4,45.6,9.12,865
11/05/2018 12:00,21.5,15.151,0.0764,0.026,1.88,0.593,105.2,45.3,8.63,874
11/06/2018 12:00,22.8,12.361,0.0641,0.026,1.61,0.501,108.6,44,8.66,935
11/07/2018 12:00,18.2,25.815,0.0776,0.035,1.66,0.589,117.3,47.6,9.59,945
11/08/2018 12:00,14.9,17.105,0.0821,0.018,1.58,0.529,116.3,48.8,9.47,984
11/09/2018 12:00,17.6,15.779,0.0659,0.025,1.36,0.716,135.4,49.5,9.09,994
11/10/2018 12:00,15.2,8.547,0.0533,0.02,1.55,0.497,130.6,49.9,9.43,1003
11/11/2018 12:00,13.2,28.866,0.0518,0.02,1.59,0.717,128.3,48.8,9.26,1004
11/12/2018 04:00,12.7,44.987,0.0571,0.019,1.59,0.63,129.4,49.3,9.34,1004
11/12/2018 08:05,12.7,3.9919,0.043,0.017,1.61,0.61,130.8,50.4,10.28,1004
11/12/2018 12:00,12.4,7.4,0.0427,0.015,1.49,0.571,132,50.2,9.85,1025
11/13/2018 12:00,12.4,8.5,0.0437,0.013,1.39,0.612,136.8,49.1,9.24,1022
11/14/2018 12:00,11.4,13.6,0.048,0.008,1.35,0.594,135.1,49.4,9.36,1020
11/15/2018 12:00,11.7,19,0.0592,0.011,1.69,0.633,143.7,56.2,9.19,1341
11/16/2018 12:00,14.6,26.7,0.0545,0.016,1.52,0.561,293.2,53.5,8.37,1106
11/17/2018 12:00,14.1,10.3,0.0386,0.016,1.25,0.641,167,49.1,8.62,1218
11/18/2018 12:00,17.6,15.6,0.0426,0.013,1.29,0.583,203.8,50.3,8.5,1111
11/19/2018 12:00,21.5,10.4,0.0412,0.012,1.89,0.605,166.1,49.1,8.7,1076
11/20/2018 12:00,22.5,12.3,0.038,0.012,2.06,0.62,159.7,47.7,8.53,1059
11/21/2018 12:00,18.2,4.9,0.0334,0.015,2.03,0.568,156.3,53.5,9.01,1070
11/22/2018 12:00,14.3,2.7,0.0298,0.013,1.89,0.556,156.3,52.9,8.9,1062
11/23/2018 12:00,12.7,4.5,0.0312,0.011,1.93,0.551,163.8,51.6,8.89,860
11/24/2018 12:00,28.8,15.4,0.0519,0.023,1.14,0.451,130.9,37.5,6.1,981
11/25/2018 12:00,27.6,18.4,0.0369,0.011,1.69,0.698,135.8,42.1,8.34,618
11/26/2018 09:35,81.2,212.8,0.2797,0.028,1.02,2.804,84.5,25.8,5.22,686
11/26/2018 12:00,93.4,73.8,0.135,0.021,1.05,0.709,90.2,24.8,5.98,817
11/26/2018 20:00,103,95.3,0.125,0.004,2.38,0.819,103.2,31.4,7.75,775
11/27/2018 04:00,103,55.8,0.104,0.014,2.73,0.844,89.1,32.3,7.96,816
11/27/2018 12:00,114,54.5,0.088,0.011,2.85,0.773,91.5,35.5,8.38,930
11/28/2018 12:00,114,35.1,0.053,0.011,2.81,0.663,110.3,42.4,9.4,957
11/29/2018 12:00,44.2,35.8,0.048,0.004,2.28,0.7,115.3,47.5,8.82,1537
11/30/2018 12:00,29.2,18.5,0.044,0.011,2.2,0.701,288.5,47.1,8.93,1035
12/01/2018 12:00,26.1,23.7,0.051,0.012,2.3,0.715,135.2,46.7,9.24,926
12/01/2018 20:00,51.7,55.3,0.071,0.013,1.43,0.612,146.6,32.4,6.45,705
12/02/2018 04:00,125,110,0.168,0.017,1.85,0.863,95.9,25.5,6.07,760
12/02/2018 12:00,135,67,0.146,0.02,2.71,0.905,91.4,31,7.53,795
12/02/2018 20:00,144,60.8,0.112,0.021,2.71,0.792,90.9,34.4,8.08,838
12/03/2018 04:00,148,98.5,0.141,0.018,2.71,0.769,93.8,37.4,8.5,854
12/03/2018 09:58,151,52.6,0.084,0.016,2.78,0.71,97.4,40.1,9.14,865
12/03/2018 12:00,152,19.646,0.0671,0.024,3.11,0.733,98.6,41.4,8.62,907
12/03/2018 20:00,151,20.038,0.0676,0.016,3.09,0.77,109.2,42.6,8.82,923
12/04/2018 04:00,138,16.731,0.0575,0.019,3.11,0.728,110.2,43.9,8.93,933
12/04/2018 12:00,110,16.469,0.0512,0.021,3.11,0.726,110.8,44.9,8.99,956
12/05/2018 12:00,47.7,11.082,0.0428,0.014,3.06,0.733,114,45.6,9.33,974
12/06/2018 12:00,32.6,12.633,0.0404,0.017,2.88,0.717,118.1,46.5,9.31,989
12/07/2018 12:00,24.8,10.818,0.0385,0.015,2.74,0.762,122.4,47.2,9.08,1005
12/08/2018 12:00,19,20.721,0.0382,0.016,2.49,0.746,127.1,47.9,9.16,1030
12/09/2018 12:00,18.7,17.241,0.0384,0.012,2.26,0.789,132.6,48.4,9.16,1035
12/10/2018 04:00,14.3,18.944,0.0379,0.013,2.35,0.841,130.8,48.5,9.1,1018
12/10/2018 09:27,15.5,7.3089,0.0365,0.013,2.41,0.82,129,49.3,9.18,977
12/17/2018 12:00,15.5,5.9,0.0407,0.001,1.93,0.696,122.8,46.6,8.38,979
12/18/2018 12:00,13.8,14.1,0.0469,0.015,1.91,0.587,123.4,47.6,8.24,984
12/19/2018 12:00,13,12.9,0.037,0.008,1.89,0.593,124.6,48.3,8.32,1001
12/20/2018 12:00,13.2,12.7,0.0369,0.009,1.89,0.664,127.1,48,8.1,850
12/21/2018 12:00,45.7,35.3,0.0856,0.008,1.95,0.604,110.8,36.3,6.96,870
12/22/2018 12:00,67,23.1,0.0617,0.012,2.58,0.621,99.3,40.5,8.27,933
12/23/2018 12:00,52.7,16.5,0.0515,0.009,2.57,0.6,108.4,44.4,8.72,985
12/24/2018 12:00,30.1,17.7,0.0539,0.012,2.54,0.618,114.9,46.1,8.82,985
12/25/2018 12:00,20.9,55.3,0.0886,0.011,2.4,0.671,117.6,46,8.55,991
12/26/2018 12:00,17,30.8,0.0528,0.01,2.3,0.568,121.8,46.7,8.46,989
12/27/2018 12:00,15.8,35.5,0.0474,0.009,2.19,0.581,121.2,46.5,7.92,893
12/28/2018 12:00,42.5,48.3,0.0993,0.011,2.47,0.734,108.7,40.5,7.64,902
12/29/2018 12:00,55.8,58.5,0.096,0.015,2.67,0.709,103.2,42.8,8.32,948
12/30/2018 12:00,38.6,26,0.0673,0.012,2.62,0.617,110.6,44.9,8.43,964
12/31/2018 12:00,30.9,26.8,0.0606,0.006,2.46,0.681,116.2,44.9,8.29,720
01/01/2019 12:00,124,203.3,0.3112,0.015,2.69,1.311,74,32.5,7.64,842
01/02/2019 12:00,154,59.7,0.1247,0.015,2.91,0.809,90.2,40,8.6,899
01/03/2019 12:00,102,140.6,0.1231,0.006,3.11,0.771,102,43.5,9.11,918
01/04/2019 12:00,50.7,137.2,0.0896,0.007,2.92,0.731,104,43.9,8.77,934
01/05/2019 12:00,36.4,125.1,0.0867,0.006,2.8,0.71,107.9,44.3,8.51,940
01/06/2019 12:00,28.8,78.6,0.0613,0.006,2.57,0.616,110.6,44.9,8.23,967
01/07/2019 09:44,23.4,16.7,0.0434,0.009,2.42,0.616,115.9,46.3,8.32,958
01/07/2019 12:00,23.1,9.2837,0.047,0.014,2.24,0.611,115.1,46.3,7.98,958
01/08/2019 12:00,23.8,4.6326,0.0402,0.015,2.19,0.607,116.9,46.7,7.72,952
01/09/2019 12:00,23.1,8.9686,0.0433,0.015,2.07,0.595,115.5,45.3,7.65,957
01/10/2019 12:00,18.2,16.205,0.0473,0.014,1.97,0.649,116.7,45.7,8.01,975
01/11/2019 12:00,17,9.4577,0.0418,0.009,2,0.679,121.1,47.3,8.3,984
01/12/2019 12:00,15.5,6.8879,0.0467,0.011,1.87,0.616,121.8,46.8,8.22,1216
01/13/2019 12:00,16.1,8.016,0.0369,0.015,1.89,0.615,192.8,46.6,7.95,1557
01/14/2019 04:00,12.2,5.7,0.038,0.017,1.39,0.573,298.7,47.9,7.9,1257
01/14/2019 09:25,10.2,9.6484,0.044,0.012,1.69,0.651,209.2,49,7.81,1174
01/14/2019 12:00,17.6,5.9523,0.037,0.014,2.03,0.7,177,48.4,7.63,1207
01/15/2019 12:00,14.9,8.547,0.035,0.014,1.76,0.678,188.5,49.1,7.56,1070
01/16/2019 12:00,14.3,8.4033,0.037,0.014,1.7,0.68,149.6,49.2,7.61,1060
01/17/2019 12:00,13,5.2666,0.033,0.013,1.55,0.641,145.7,48.6,7.34,1215
01/18/2019 12:00,14.3,6.6181,0.036,0.006,1.58,0.678,192.7,48.4,7.23,1110
01/19/2019 12:00,13.8,12.032,0.035,0.009,1.44,0.646,163,46.2,6.71,1115
01/20/2019 12:00,23.8,7.4779,0.036,0.004,1.56,0.641,158.3,48.1,7.07,1286
01/21/2019 12:00,13,7.762,0.032,0.011,1.59,0.714,196.2,54,8.16,1250
01/22/2019 10:05,12.7,2.71,0.028,0.008,1.65,0.733,185.3,54.6,8.55,1242
01/22/2019 12:00,12.7,6.3,0.03,0.004,1.28,0.773,183.3,52.6,8.73,1225
01/22/2019 20:00,13.5,6.8,0.031,0.009,1.21,0.683,178,50.8,8.29,1290
01/23/2019 04:00,16.4,9.2,0.032,0.006,1.22,0.763,203.4,50,7.91,2980
01/23/2019 12:00,51,30.5,0.057,0.005,0.49,0.649,776.7,37.9,4.56,1189
01/28/2019 09:33,34.6,10.8,0.033,0.009,2.13,0.826,176.7,47.2,8.62,1134
01/28/2019 12:00,34.4,6.7704,0.029,0.005,2.14,0.808,161.9,47.8,8.24,1638
01/29/2019 12:00,27.6,3.1948,0.024,0.005,1.91,0.717,315.9,48.5,7.83,1458
01/30/2019 12:00,30.3,5.1746,0.024,0.008,1.95,0.845,251.1,51.2,8.35,1358
01/31/2019 04:00,20.3,5.5478,0.025,0.005,1.98,0.742,213,53.2,8.81,1156
02/04/2019 09:43,40.4,11.879,0.059,0.009,1.55,2.238,203.4,36,6.67,1122
02/04/2019 12:00,39.3,45.1,0.0632,0.012,1.69,1.683,191.6,36,6.63,1117
02/11/2019 10:13,30.7,29.3,0.0499,0.012,2.23,0.862,164.8,45.5,8.07,1426
02/21/2019 12:00,30.1,7.9681,0.0456,0.005,1.45,0.711,275.7,43.1,6.76,1124
02/22/2019 12:00,33.5,8.469,0.0523,0.012,1.52,0.695,192.8,41.5,6.79,1093
02/23/2019 12:00,31.7,5.3226,0.0512,0.009,1.51,0.602,170.2,43.1,7,1025
02/24/2019 12:00,75,52.369,0.2012,0.018,1.26,0.906,173.1,35.5,6.33,922
02/24/2019 20:00,86.6,19.23,0.097,0.013,1.36,0.955,144.6,33.5,6.47,904
02/25/2019 04:00,104,6.1349,0.071,0.012,1.42,0.826,134.2,34.4,6.85,937
02/25/2019 12:00,105,11,0.056,0.014,1.53,0.734,135.1,37.6,7.5,994
02/26/2019 12:00,66.6,13.5,0.061,0.011,1.89,0.774,142,40.8,7.79,1028
02/27/2019 12:00,32.9,8.7,0.047,0.007,1.96,0.751,145.8,43,7.58,1045
02/28/2019 12:00,26.3,7.4,0.046,0.007,1.61,0.76,153,44.4,7.66,1050
03/01/2019 12:00,22.4,7.7,0.048,0.008,1.45,0.75,152.8,44.8,7.56,1029
03/02/2019 12:00,24.3,24.5,0.062,0.007,1.54,0.777,147.5,45.2,7.19,1027
03/03/2019 12:00,23.3,14.5,0.048,0.007,1.45,0.707,145,45,6.95,1235
03/04/2019 04:00,18.1,14.8,0.047,0.008,1.29,0.791,211.3,46.1,7.07,1222
03/04/2019 09:31,25.5,5.8,0.048,0.005,1.45,0.718,203.7,48.3,7.27,1121
03/04/2019 12:00,27.8,13.468,0.052,0.015,1.46,0.71,171.2,45.8,6.98,1098
03/05/2019 12:00,33.5,16.722,0.0534,0.016,1.73,0.75,159.6,48.9,7.04,1102
03/06/2019 12:00,22.8,15.091,0.0371,0.015,1.52,0.727,160,49.7,7.2,1060
03/07/2019 12:00,18.5,16.064,0.035,0.014,1.47,0.655,154.3,49.5,7.03,1032
03/08/2019 12:00,17.6,30.432,0.0385,0.016,1.38,0.768,144.3,46.9,6.38,1004
03/09/2019 12:00,18.3,13.852,0.0419,0.007,1.31,0.736,139.7,45.7,6.16,1065
03/10/2019 04:00,81.2,120.91,0.2209,0.024,0.8,1.247,210.7,29.8,4.73,866
03/10/2019 12:00,75,90.671,0.1499,0.022,0.97,1.028,147.7,28.8,5.41,844
03/10/2019 20:00,78.9,45.305,0.0906,0.023,1.11,0.802,133.5,31.3,5.9,845
03/11/2019 04:00,81.2,47.649,0.0927,0.023,1.11,0.771,123.2,33.2,6.23,847
03/11/2019 09:35,82.5,312.18,0.4577,0.017,1.22,1.292,123.3,35.2,6.46,861
03/11/2019 12:00,82.5,25.974,0.1,0.006,1.22,0.801,121.6,34.1,6.49,893
03/11/2019 20:00,78.6,18.794,0.078,0.015,1.36,0.731,128.2,36.7,6.67,891
03/12/2019 04:00,60.4,24.983,0.081,0.014,1.38,0.748,122.7,37,6.59,899
03/12/2019 12:00,44.4,15.121,0.07,0.016,1.45,0.646,124,38.4,6.77,925
03/13/2019 12:00,33.7,14.433,0.057,0.013,1.55,0.702,126.5,40.5,6.64,963
03/14/2019 12:00,40.4,12.186,0.062,0.016,1.49,0.668,142.7,39.4,6.01,948
03/14/2019 20:00,59.5,24.579,0.089,0.016,1.6,0.751,143.8,36.7,6.15,883
03/15/2019 04:00,75.7,24.822,0.094,0.021,1.71,1.299,125.6,34.5,6.61,839
03/15/2019 12:00,87.2,17.532,0.076,0.019,1.65,0.731,112.9,34.2,6.85,893
03/16/2019 12:00,115,20.04,0.067,0.02,2.02,0.66,121.7,38.3,7.15,916
03/17/2019 12:00,70.6,22.364,0.054,0.014,2.03,0.682,122.1,38.7,6.74,932
03/18/2019 04:00,52.7,18.543,0.052,0.018,1.96,0.69,124.1,40.3,6.66,929
03/18/2019 09:41,48.1,90.488,0.129,0.015,2.07,0.772,126.7,41.7,6.74,934
03/18/2019 12:00,46,19.48,0.05,0.007,2.18,0.658,125,40.4,6.4,940
03/19/2019 12:00,36.3,14.726,0.051,0.01,2.04,0.631,128,41.7,5.86,944
03/20/2019 12:00,32.5,7.3925,0.042,0.013,1.89,0.632,128,42,5.59,999
03/21/2019 12:00,35.9,9.914,0.043,0.013,1.85,0.709,145.9,43.8,5.4,962
03/22/2019 12:00,35.5,7.1567,0.04,0.01,1.83,0.646,134.8,43.1,5.78,967
03/23/2019 12:00,29.7,59.02,0.092,0.012,1.65,0.831,133.6,42.7,5.54,963
03/24/2019 12:00,27.6,19.354,0.058,0.012,1.58,0.668,133.3,43.4,5.17,971
03/25/2019 04:00,26.8,26.466,0.055,0.013,1.54,0.644,134.1,44,5.14,980
03/25/2019 09:35,26.3,18.558,0.039,0.006,1.75,0.68,135.7,45.7,4.77,972
03/25/2019 12:00,26.3,15.519,0.055,0.014,1.86,0.604,138.4,48.8,5.32,977
03/26/2019 12:00,23.8,18.929,0.052,0.013,1.37,0.629,136.2,45.4,4.89,982
03/27/2019 04:00,23.1,25.016,0.058,0.011,1.27,0.579,139.6,45.5,4.69,972
03/28/2019 20:00,22.1,21.067,0.062,0.015,1.26,0.549,138.1,45.4,4.65,985
03/29/2019 12:00,28.2,26.498,0.063,0.01,1.2,0.589,134.9,44.6,4.24,986
03/30/2019 04:00,31.5,29.231,0.057,0.008,1.11,0.633,135.3,44.4,3.81,773
04/01/2019 10:09,231,27.303,0.084,0.009,2.77,1.015,98.1,34.1,7.43,807
04/01/2019 12:00,234,91.1,0.123,0.013,2.25,0.881,103.1,32.6,7.04,828
04/01/2019 20:00,229,39.2,0.08,0.015,2.35,0.833,106.6,35,7.14,851
04/02/2019 04:00,201,34.1,0.077,0.01,2.31,0.742,110.4,36,7.03,864
04/02/2019 12:00,165,25.4,0.073,0.015,2.32,0.802,112,36.9,6.67,898
04/03/2019 12:00,74.8,28.3,0.064,0.008,2.04,0.77,118.6,39.8,6.2,928
04/04/2019 12:00,49.2,24.9,0.059,0.007,1.83,0.697,124.9,40.5,5.72,941
04/05/2019 12:00,40.4,35,0.065,0.009,1.87,0.675,126.8,41.4,5.8,942
04/06/2019 12:00,36.4,22.7,0.05,0.009,1.7,0.695,127.4,41.8,4.74,952
04/07/2019 12:00,33.4,30.9,0.056,0.01,1.44,0.64,128,40.4,4.33,984
04/08/2019 04:00,37,21.1,0.054,0.012,1.33,0.719,141,40.2,4.16,946
04/08/2019 09:28,34.8,38.1,0.065,0.01,1.44,0.665,132.2,41,4.16,961
04/08/2019 12:00,34.8,18.055,0.0529,0.014,1.34,0.661,133.9,40.2,4.17,966
04/09/2019 12:00,31.8,12.203,0.0508,0.003,1.16,0.661,125.5,37.7,3.7,967
04/10/2019 12:00,28.1,8.7483,0.0482,0.012,1.13,0.571,133.2,39.9,3.66,972
04/11/2019 04:00,26.8,15.06,0.0541,0.012,1.08,0.584,135.1,39.8,3.82,885
04/15/2019 07:47,52.1,5.9171,0.0636,0.029,1.15,0.703,125.6,34.7,6.18,888
04/15/2019 12:00,49.9,11.8,0.069,0.01,1.16,0.794,121.7,34.3,6.28,929
04/16/2019 12:00,42.5,19.8,0.07,0.011,1.18,0.692,125.8,37.3,4.99,953
04/17/2019 12:00,33.9,12.3,0.071,0.02,1.03,0.734,129.2,37.8,3.78,971
04/18/2019 12:00,31.5,9.3,0.067,0.013,0.99,0.68,134.1,38.3,3.79,822
04/19/2019 12:00,119,26,0.118,0.023,1.1,0.836,113.3,27.8,5.94,770
04/19/2019 20:00,126,42,0.115,0.025,1.29,0.812,96.6,27.6,6.96,790
04/20/2019 04:00,123,37,0.13,0.024,1.37,0.792,98.4,29.7,7.12,620
04/20/2019 12:00,210,66.9,0.162,0.021,0.71,0.731,79.2,21.1,5.39,582
04/20/2019 20:00,362,60.4,0.183,0.02,1.02,0.967,66.9,19.5,6.23,555
04/21/2019 04:00,374,311.5,0.357,0.033,0.89,1.241,60.8,19.5,6.58,607
04/21/2019 12:00,288,359.5,0.38,0.033,1.3,1.414,66.4,22.8,6.95,627
04/21/2019 20:00,298,636.1,0.588,0.03,1.66,1.816,70.1,24.7,7.27,659
04/22/2019 04:00,334,292.6,0.34,0.033,1.79,1.533,74.9,26.2,7.34,686
04/22/2019 09:45,336,24.7,0.116,0.021,1.95,0.77,80.1,28.4,7.81,770
04/29/2019 12:00,162,68.136,0.126,0.021,1.59,0.537,88.5,30.7,7.14,682
04/29/2019 20:00,190,95.333,0.211,0.017,1.43,0.798,78.9,27.8,5.97,758
04/30/2019 04:00,193,60.869,0.086,0.017,1.57,0.697,91.7,30.1,6.96,732
04/30/2019 12:00,171,30.982,0.08,0.024,1.95,0.672,83.9,39.3,7.27,757
04/30/2019 20:00,157,35.839,0.076,0.019,2.07,0.616,94.3,39.6,7.25,746
