"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,28,31,NA,NA,NA,NA,NA,NA,NA,NA
1,18,21,28,31,NA,NA,NA,NA,NA,NA,NA
1,18,21,24,28,31,NA,NA,NA,NA,NA,NA
1,4,7,18,21,28,31,NA,NA,NA,NA,NA
1,4,7,18,21,24,28,31,NA,NA,NA,NA
1,4,7,14,18,21,24,28,31,NA,NA,NA
1,4,7,11,14,18,21,24,28,31,NA,NA
