"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,24,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,24,45,365,NA,NA,NA,NA,NA,NA,NA,NA
1,23,51,94,365,NA,NA,NA,NA,NA,NA,NA
1,26,54,89,115,365,NA,NA,NA,NA,NA,NA
1,50,93,115,156,125,365,NA,NA,NA,NA,NA
1,23,45,99,118,142,163,365,NA,NA,NA,NA
1,30,52,87,120,140,160,179,365,NA,NA,NA
1,57,94,111,157,212,251,310,339,365,NA,NA
1,52,90,110,157,178,194,229,254,347,365,NA
1,59,95,110,135,155,176,215,246,311,331,365
1,32,59,93,126,156,186,221,250,281,302,342
1,5,11,27,38,42,51,79,220,250,276,304
1,8,12,23,28,38,42,115,154,227,244,275
