"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,193,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,155,194,365,NA,NA,NA,NA,NA,NA,NA,NA
1,118,156,193,365,NA,NA,NA,NA,NA,NA,NA
1,58,157,176,194,365,NA,NA,NA,NA,NA,NA
1,45,87,157,178,193,365,NA,NA,NA,NA,NA
1,60,103,127,157,178,194,365,NA,NA,NA,NA
1,28,52,81,113,145,176,194,365,NA,NA,NA
1,95,118,151,182,218,255,281,318,365,NA,NA
1,31,94,127,150,195,229,257,299,333,365,NA
1,30,89,130,150,191,208,240,296,319,343,365
1,34,95,118,150,179,199,235,257,282,320,346
1,7,37,54,74,85,135,161,224,250,290,314
1,12,40,43,58,61,77,135,163,183,225,285
