"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s","variable"
200210,7,2584.53668600569,2584.53626809197,80120.6,12.3692282474274,29,31,280436.712071593,326.986793271285,290.034070407742,290.032598238624,"NO23"
200211,0,2407.52948276685,2407.52948276685,72225.9,29,30,30,20916816.5658397,1736.96422387561,290.8978634304,290.8978634304,"NO23"
200212,0,4289.4734996878,4289.4734996878,132973.7,30,31,31,179471307.353153,4995.17336886474,291.761696644645,291.761696644645,"NO23"
200301,0,4984.72918605069,4984.72918605069,154526.6,30,31,31,254688702.472701,5950.56074875982,292.642983969032,292.642983969032,"NO23"
200302,0,6278.99017878587,6278.99017878587,175811.7,27,28,28,114534894.801982,4225.99046921433,293.476483268,293.476483268,"NO23"
200303,0,7773.04025648515,7773.04025648515,240964.2,30,31,31,407520573.776883,7527.10236609087,294.3106608,294.3106608,"NO23"
200304,0,5070.65245497608,5070.65245497608,152119.6,29,30,30,462889038.211009,8171.11885436619,295.1737781016,295.1737781016,"NO23"
200305,6,7637.67121258095,7637.66952068758,236767.8,15.3608472761011,29,31,116181983.989468,5849.90840063922,296.0379856,296.043164834064,"NO23"
200306,0,-45104.5116430589,-45104.5116430589,-1353135.3,29,30,30,281911240034.578,201650.48712278,296.8990003792,296.8990003792,"NO23"
200307,0,7791.43333158276,7791.43333158276,241534.4,30,31,31,258720666.585057,5997.47730927401,297.764707526194,297.764707526194,"NO23"
200308,0,5728.33626463925,5728.33626463925,177578.4,30,31,31,132520433.956189,4292.34357753275,298.642679044645,298.642679044645,"NO23"
200309,0,6588.88477255596,6588.88477255596,197666.5,29,30,30,228322972.283843,5738.75764350269,299.5063263728,299.5063263728,"NO23"
200210,8,242.918758195447,242.918663174616,7530.6,6.584207733294,29,31,84001.9775616312,270.545972768426,290.034070407742,290.032598238624,"TKN"
200211,0,758.32964743991,758.32964743991,22749.9,29,30,30,17858167.3527031,1604.95006157548,290.8978634304,290.8978634304,"TKN"
200212,0,1688.67377500516,1688.67377500516,52348.9,30,31,31,7885790.39247346,1047.06988123031,291.761696644645,291.761696644645,"TKN"
200301,0,2246.56772995117,2246.56772995117,69643.6,30,31,31,1070440.30919273,385.775177884775,292.642983969032,292.642983969032,"TKN"
200302,0,3967.9858309723,3967.9858309723,111103.6,27,28,28,58559063.1938752,3021.73700319822,293.476483268,293.476483268,"TKN"
200303,0,3217.65110171558,3217.65110171558,99747.2,30,31,31,32598947.9420021,2128.89795599909,294.3106608,294.3106608,"TKN"
200304,0,1009.4513998669,1009.4513998669,30283.5,29,30,30,21326482.6335249,1753.89139037049,295.1737781016,295.1737781016,"TKN"
200305,6,1767.7315352502,1767.73142447648,54799.7,16.7817315901117,29,31,1706444.96655926,673.445917749996,296.0379856,296.033016458323,"TKN"
